Address,Email Address,License Validity,Name,Official Representative,Status,Tel No/s,Website
"#38 GORORDO AVENUE CEBU CITY, CEBU",None,8/9/2017 to 8/8/2020,ASIAN MARINE TRANSPORT CORP Philippine Overseas Shipping Enterprise,PAOLO C RODRIGUEZ,Valid License,,None
205 G PLANA ST BRGY STA LUCIA SAN JUAN,,11/10/1997 to 11/9/1999,ASIAN PLACEMENT SERVICES  Private Employment Agency,MS EVELYN V FERRER,Delisted,,
UN AVE COR SAN MARCELINO ST MANILA ,,11/22/1988 to 11/12/1993,ASIAN PRINCESS SHIPPING CORP  Philippine Registered Vessel,MR VIRGILIO L LEYEZA,Delisted,5009011,
2F SN ANTONIO BLG WEST TRI ANGLE 1595 Q BLVD QUEZON CITY,,9/10/2000 to 2/21/2003,ASIAN PROSPERITY LINES INC.  Philippine Registered Vessel,MR TRANQUILINO VENTURA JR,Expired,9293601 / 9293623,
U-C 2F SAN ANTONIO BLDG WEST TRIANGLE QUEZON CITY ,,9/10/2000 to 9/9/2002,ASIAN PROSPERITY LINES INC.  Manning Agency,MR TRANQUILINO VENTURA JR,Delisted,,
"8532 CAONG ST SAN ANTONIO VILL SAN ANTONIO VILLAGE, MAKATI",,to 10/19/1991,ASIAN STAR PLACEMENT COMPANY INC  Private Employment Agency,MS CLAUDIA G NAGUNA,Forever Banned,856277 / 882782,
"GAMMON HOUSE 110 RADA ST LEGASPI VILLAGE, MAKATI",,to 6/2/1984,ASIAN WATER & SEWERS SYSTEMS INC  Construction Contractor,MARIO L SAN BUENAVENTURA,Cancelled,8171372 / 8171747,
"2F BPI BLDG. GEN MAXILOM AVE EXTN NORTH RECLAMATIO CEBU CITY, CEBU",asiana_cebu@yahoo.com.ph,3/25/2014 to 3/24/2018,ASIANA SHIP MANAGEMENT INC Manning Agency,DALISAY C. OHDATE,Valid License,(032) 266-7475/0905-3259008,None
"8F PDCP BANK CTR LP LEVISTE ST SALCEDO VILL MAKATI, MAKATI",NA,5/6/2010 to 11/5/2010,ASIAONE GLOBAL RESOURCES INC Private Employment Agency,ALLAN P. TIMONERA,Delisted,7531377/7531379/7531376,NA
"1401 M.ADRIATICO ST ERMITA, MANILA",,to 4/21/1988,ASIA-PAC RESOURCES INC  Private Employment Agency,MS PAQUITA TANDOC,Cancelled,,
238A CRUZ BLDG P OCAMPO SR AVE MAKATI,None,7/19/2001 to 7/18/2003,ASIATIC SEAFARERS AGENCY INC Manning Agency,FELIX R RAVELAS,Denied Renewal,,None
"1651 SAN MARCELINO ST MALATE, MANILA",,to 5/7/1986,ASIATICA DEVELOPMENT & SERVICES CORPORATION Private Employment Agency,DR FLORANTE J ABAYA,Forever Banned,,
"S1202B ERMITA CENTER BLG 1350 ROXAS BLVD ERMITA, MANILA",fareast@747@yahoo.com,7/26/2010 to 7/25/2014,ASKAR INTERNATIONAL MANAGEMENT & SERVICES Private Employment Agency,ABDUL MOJEEB S ALINOG,Cancelled,5227546/302-2368,None
#426 BULALAKAW STREET MANDALUYONG,asmacs@asmacs.com.ph,2/15/2015 to 2/14/2019,ASMACS RECRUITMENT SERVICES INC Private Employment Agency,MARIA CHRISTINA C LIM,Valid License,4774406 / 09088867682,www.asmacsgroup.net
"GF JPLAUREL MEM.F. ROXAS BLVD COR P.GIL ERMITA, MANILA",asmara@pacific.com.ph,8/21/2007 to 8/20/2011,"ASMARA INTERNATIONAL PLACEMENT AGENCY, INC. Private Employment Agency",NA,Cancelled,5244681-84,None
U715 ROYAL PLAZA TWIN TWR 648 REMEDIOS ST MALATE MANILA,asmvintlmanpowerinc@gmail.com,3/7/2017 to 3/7/2019,ASMV INTERNATIONAL MANPOWER INC. Private Employment Agency,VINCENT JOSEPH M. CAM,Valid License,3100296/ 09564767912/ 09193627335/ 09335878915,www.asmv.com.ph
"1820 LUIS MARIA GURERRO ST MALATE, MANILA",manila@crewships.com,6/1/2016 to 5/31/2020,ASP CREW MANAGEMENT SERVICES INC (FORMERLY CMS CREW MANAGEMENT SERVICES INC Manning Agency,VICENTE F ALDANESE JR,Valid License,3107638 / 5240835 / 5240758 / 09178136871,www.crewships.com
"2/F PALACIO GRANDE BLDG.,GEN. LUNA COR. ANDA ST., INTRAMUROS, MANILA",ASPIRE@CSI.COM.PH,12/29/2006 to 6/29/2007,ASPIRE PROFESSIONAL RESOURCES DEVELOPMENT INC. Private Employment Agency,WILLIAM B. CHIONGBIAN II,Delisted,5270772/5270779/5270419,WWW.ASPIREPHIL.COM
882 JP RIZAL ST MAKATI,,to 3/5/1985,ASSOCIATED MANPOWER PROMOTIONS & PLACEMENT CENTER INC Private Employment Agency,MS ARSENIA PARUNGAO,Cancelled,,
"3F C-SIDE COMM`L CTR.R.BLVD & AGUARRA,BACLARAN,PQU ",,7/8/2001 to 7/7/2003,"ASSOCIATES FOR ADVANCED CARE PHILIPPINES MANPOWER, INC. Private Employment Agency",REYNALDO R RAMOS,Delisted,8543872 / 8543780,
"12/F, JEMARSONS PLACE, 1626 PILAR HIDALGO LIM ST MALATE, MANILA",amii@astramarine.net,4/24/2017 to 4/23/2021,ASTRA MARINE INTERNATIONAL INC Manning Agency,CAPT GAUDENCIO C MORALES,Valid License,524-7521/525-0182/524-4280/,None
13 MOTHER IGNACIA AVE ROXAS DISTRICT QUEZON CITY,,to 1/26/1984,ASTRO MANPOWER PLACEMENT  Private Employment Agency,MR SALUSTIANO SOMOSO,Forever Banned,992127,
"UNIT 3, APACIBLE TOWNHOUSES, APACIBLE ST COR GEN L ERMITA, MANILA",atcresources.inc@gmail.com,12/20/2016 to 12/19/2020,"ATC HUMAN RESOURCES, INC. Private Employment Agency",GLENDA I TUMAMPIL,Valid License,251-7588/ 09209599375/ 09054721785,N/A
"VICTORIA BLDG 429 UN AVE ERMITA, MANILA",,5/23/1986 to 5/23/1986,ATCI OVERSEAS CONSTRUCTION CORPORATION  Construction Contractor,MR HENRY T LAUREL,Delisted,5218089 / 5218104,
"2F,1049 METROPOLITAN AVE MAKATI",atcioverseascorporation@yahoo.com,11/29/2015 to 11/28/2019,ATCI OVERSEAS CORPORATION Private Employment Agency,RODENCIO Z SARMIENTO,Valid License,897-3191/ 899-2051,None
"UNIT 2B, 49 SCT ALCARAZ ST COR D. TUAZON ST MAHARLIKA, QUEZON CITY",atdinternationalservicesinc@gmail.com,11/13/2014 to 11/12/2018,ATD INTERNATIONAL SERVICES AND TRAINING CENTER INC (FORMERLY ATD INTERNATIO Private Employment Agency,FELISA M MANGULABNAN,Valid License,244-6472,None
"2/F #4672 EVANGELISTA-CUANGCO STS PIO DEL PILAR, MAKATI",aims@athenna.com.ph,12/7/2016 to 12/6/2020,ATHENNA INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,AMANTE F. PIANO,Valid License,8884821/ 09173326621,www.Athenna.com.ph
"UNITS 817, 818 & 819, 8F, AIC BURGUNDY EMPIRE TOWE PASIG CITY",roberto.pangilinawan@agp.ph,1/12/2017 to 1/11/2029,ATLANTIC GULF & PACIFIC COMPANY OF MANILA INC Construction Contractor,AUGUSTO G GAN,Valid License,(02) 6632100 LOCAL 3203 / (02) 6632114,www.agp.ph
"4TH FLR PASCOR BLDG QUIRINO AVE MALATE, MANILA",,to 10/8/1985,ATLANTIC OVERSEAS MANPOWER SERVICES INC  Manning Agency,ATTY ROGELIO DIO,Cancelled,592416,
"3F DO#A MATILDE BLDG 870-882 APACIBLE ST ERMITA, MANILA",,1/10/1994 to 1/9/1996,ATLAS MANPOWER EXPONENTS COMPANY INC  Private Employment Agency,MR ANTONIO M ABAYA,Delisted,5243834,
"U-F CK SY DIAMOND BLG.,156 LIBERTAD PASAY CITY",None,12/4/2003 to 12/3/2007,A-TOP MANPOWER CORPORATION Private Employment Agency,ATTY DAVID F DACLAG,Cancelled,8334658/ 8333446,None
"S501 5F 1377 A MABINI COR STA MONICA ST ERMITA, MANILA",aumsimla@pldtdsl.net,6/24/2012 to 6/23/2016,AU MANAGEMENT SERVICES INC Private Employment Agency,ATTY MARIANO O GUINTO,Cancelled,5223854/525-1205,www.aumsi.com
"S501 5F 1377 A MABINI COR STA MONICA ST ERMITA, MANILA",aumsimla@pldtdsl.net,6/24/2004 to 6/23/2008,AU MANAGEMENT SERVICES INC Manning Agency,MS AMELITA N GUINTO,Delisted,5223854/525-1205,www.aumsi.com
750 PABLO OCAMPO SR ST MALATE MANILA ,,8/3/2003 to 8/2/2007,AUCARMAR MANPOWER SERVICES  Private Employment Agency,CICERO L MALUNDA,Cancelled,5257584,
90 J.ABAD SANTOS HEROES HILL QUEZON CITY,,to,AUDION ELECTRIC COMPANY INC  Construction Contractor,ENGR REYNALDO T ARINGO,Inactive,983236 / 984373,
"U-B, PASEO VIEW,16F, LEPANTO BLG, 8747PASEODEROXAS MAKATI",manning.ship@augustea.com,11/6/2015 to 11/5/2019,AUGUSTEA SHIP MANNING PHILIPPINES INC. (FOR: CREWTECH SHIPMGNT PHILS INC) Manning Agency,MARY GRACE S. A .LABRUSCA,Valid License,5513249/5513725/5513291/5516303/8312213,www.augustea.ph
"RMS. 200&202 GOCHANGCO BLDG 610 TM KALAW ST. ERMITA, MANILA",augustin@augustin-ph.com,6/20/2014 to 6/19/2018,"AUGUSTIN INTERNATIONAL CENTER, INC. Service Contractor",CAROL F DEBORDE,Valid License,5244448/ 5244416/ 5248219/ 09773209979/09224256812,www.augustin-ph.com
"2/F ALMANZA SQ BDG 490 ALABANG-ZAPOTE RD LAS PINAS ALMANZA, LAS PIÃ‘AS",aredula@aureuscorp.com,10/8/2017 to 10/7/2021,AUREUS MANPOWER & CONSULTANCY CORP Private Employment Agency,ARCHIE D. REDULA,Valid License,4489792,NA
"RM309 3F PUZON BLG E. RODRIGUEZ, QUEZON CITY",None,11/12/2004 to 11/12/2005,AUSPHIL SHIP MANAGEMENT INC(FOR:GLC SHIPPING AND MANNING AGENCY Manning Agency,NA,Cancelled,6715222/6721461,None
"2214 PEDRO GIL STREET STA. ANA, MANILA",automatechs@gmail.com,9/12/2017 to 3/11/2018,AUTOMATECHS MANPOWER SOLUTIONS INC Private Employment Agency,REYNALDO V ALMADEN,Valid License,2555615/ 2559027/ 2559028/ 09212510029,www.automatechsmanpower.com
"8/F (WEST SIDE), G.E. ANTONINO BLDG, T.M. KALAW CO ERMITA, MANILA",president@auxilia.com.ph,1/13/2016 to 1/12/2020,AUXILIA INC Manning Agency,MR VINCENT A FLORES,Valid License,5622924 / 5622937,None
"2593 A. BONIFACIO ST BANGKAL, MAKATI",mail@avantgarde.com.ph,1/15/2016 to 1/14/2020,AVANTGARDE SHIPPING CORP (AVANTGARDE ENTERPRISES INTERNATIONAL) Manning Agency,MIKE EDZEL G REBAMONTAN,Valid License,8893665/8893582/8893583/8893589,www.avantgarde.com.ph
"RMS205-208 SISON MANSIONS 2631 ROCKEFELLER MAKATI SAN ISIDRO, MAKATI",NA,12/18/2007 to 12/18/2008,AVATAR MANPOWER SERVICES Private Employment Agency,CIRIACO S. CALALANG,Delisted,8430004,NA
"4F FLY ACE CORPORATE CENTER 13 CORAL WAY, CENTRAL PASAY CITY",edna.ranara@aviormarine.com,9/21/2016 to 9/20/2020,AVIOR MARINE INC (FORMERLY ELMIRA SHIPPING PHILS INC) Manning Agency,EDNA L RANARA,Valid License,8433277 TO 79 Loc 104 / 09178273635,www.aviormarine.com
"RM210 JOVAN COND,600 SHAW BLV D COR.SAMAT,MAND. ",,3/24/2000 to 3/23/2002,AVITADE INTERNATIONAL MANPOWER SERVICES  Service Contractor,MR OSCAR TADENA,Delisted,5788058 / 5350771,
"R300 & 302, 3/F, KIMVI BLDG, 1191 MA. OROSA STREET ERMITA, MANILA",APAWAS@HOTMAIL.COM /APAWAS@YAHOO.COM,8/27/2010 to 8/26/2014,"AWAS MANPOWER SERVICES, INC. Private Employment Agency",,Cancelled,3105231/3105232,None
NO. 6 JANE DE JOYA ST BF RESORT LAS PIÃ‘AS,allworld@awriph.com / admin@awriph.com,9/4/2014 to 9/3/2018,AWRI-ALL-WORLD RECRUITMENT INC (FORMERLY WHITE BIRD BUSINESS MANAGEMENT & G Service Contractor,LOURDES V. GUIOGUIO,Valid License,632- 8057754 / 09257244852,www.awriph.com
RM303 & 304 JALANDONI BLDG COR MABINI & SALAS ERMI ,,6/17/1998 to 6/15/2000,AXIL INTERNATIONAL SERVICES AND CONSULTANCY Service Contractor,MS CECILIA R MIGITA,Delisted,5284363,
7TH FLR MAKATI STOCK EXCH BLDG AYALA AVE MAKATI,,to 2/20/1981,AYALA CORPORATION  Construction Contractor,ATTY RENATO DELA FUENTE,Inactive,880921 / 880929,
S 216 NATIVIDAD BLDG 355 ESCOLTA STA CRUZ MLA ,,2/9/2001 to 2/8/2003,"AYQUE INTERNATIONAL MANPOWER SERVICES, INC. Private Employment Agency",MS ELVIRA R AYQUE,Delisted,2473127 / 2477442,
"A-Z BLG.1636 DIAMANTE COR.GRANATE SN.ANDRES BUKID MALATE, MANILA",az_intl@yahoo.com,12/13/2002 to 12/12/2006,"A-Z PLACEMENT AGENCY, INC. Private Employment Agency",FERNANDO R CHAVEZ,Cancelled,5643235/ 5618183,None
"U1508 ANTEL GLOBAL BUS.TOWER,D O#A J.VARGAS,ORTIGA ",None,3/21/2000 to 3/20/2002,"AZDAMAN PHILIPPINES, INC Private Employment Agency",EDNA C ENCARNACION,Delisted,6874095-96,None
"R 208,209,210 & 217 MERCHANTS BLDG 509 P FAURA ST ERMITA, MANILA",azizzahapplicant@yahoo.com,3/13/2016 to 3/12/2020,AZIZZAH INTERNATIONAL MANPOWER SERVICES INC. Private Employment Agency,AZIZZA TAHIL SALIM,Valid License,5228128 / 09153843417,None
1726 L. GUINTO ST. MALATE MANILA ,,10/8/2002 to 10/7/2006,AZOZI MANPOWER OVERSEAS  Private Employment Agency,JULIETA A ALKHUZEEM,Delisted,5255198/ 5230879,
"1392A ABAD SANTOS BLDG., GEN. LUNA COR APACIBLE S PACO, MANILA",ABDOU.PLDT.DSL.COM.PH,4/17/2012 to 4/16/2016,B & E OVERSEAS MANPOWER SERVICES CORP Private Employment Agency,EVA O ABDOU,Cancelled,4009673 / 4001545 / 4001034,None
20TH CENTURY BLDG 632 SHAW BLVD MANDALUYONG ,,to 10/21/1984,B & M ENGINEERING CORPORATION  Construction Contractor,ENGR BENJAMIN L BARBER,Forever Banned,,
S-320 BANK OF P.I. BLDG PLAZA CERVANTES BINONDO ,,11/28/1999 to 11/26/2001,B STA RITA & COMPANY INC  Manning Agency,MR BEN STA RITA,Delisted,2421192 / 2421167,
"R505, 5F MRS BLDG #1431 A MABINI ST ERMITA, MANILA",bbshipping@yahoo.com.ph,5/13/2014 to 5/12/2018,B.B. SHIPPING MANAGEMENT CORP Manning Agency,CARMELITA M DELA PEÃ‘A,Valid License,523-1880,www.bbship.com
"U- E&F, 2F CLASSICA 1 COND 112 H V DE LA COSTA ST SALCEDO VILLAGE, MAKATI",info@bmcart.com.ph/ mrj@bmcart.com.ph,7/9/2016 to 7/8/2020,B.M.C.A.R.T. INTERNATIONAL RECRUITMENT AND PLACEMENT SERVICES INC Private Employment Agency,MARICAR R JAURIGUE,Valid License,8043845/ 8043845/ 7503414/ 09178222270/09189634035,www.bmcart.com.ph
"MIDLAND PLAZA HOTEL GF RM 12&21 M ADRIATICO ST. ERMITA, MANILA",None,5/17/2012 to 5/16/2016,BABYLON INTERNATIONAL SERVICES INC Private Employment Agency,OLIVIA G. MACUSI,Cancelled,525-5719/525-5728/450-1800,None
SUITE 505 VIP BLDG 1550 ROXAS BLVD MLA ,,to 11/9/1985,BAGONG FILIPINAS OVERSEAS CORPORATION  Manning Agency,MR JESUS M NACIONGAYO,Cancelled,,
"U205, 207,209, 211& 212 MINDANAO NOVA REALTY NOVALICHES PROPER, QUEZON CITY",baguiobenguetmain28@yahoo.com,3/16/2016 to 3/15/2020,BAGUIO BENGUET INTERNATIONAL RECRUITMENT AGENCY INC Private Employment Agency,ENRIQUE U BARCELO,Valid License,(02) 3527054 / 09298201072 / 09274667601,None
"UNITS 5A&5B, MA.DANIEL BLDG, 470 SAN ANDRES ST MALATE, MANILA",admin.bahia@bahiashipping.ph,2/17/2018 to 2/16/2022,BAHIA SHIPPING SERVICES INC Manning Agency,MS CYNTHIA C MENDOZA,Valid License,5217456 / 5260691 / 5218911,www.bahiashipping.ph
"S302 BEL AIR APTS 1020 ROXAS BLVD ERMITA, MANILA",baileycorpmain@yahoo.com/baileycorpmain08@gmail.co,1/12/2015 to 1/11/2019,BAILEY CORPORATION Private Employment Agency,RINA ANN A BAUTO,Valid License,7144876/ 3570816/ 09999528671,None
"3/F VICTORIA BLDG 429 UN AVE ERMITA, MANILA",balnav@bni.com.ph,1/15/2016 to 1/14/2024,BALIWAG NAVIGATION INC Manning Agency,MS JOSEFINA T REYES,Valid License,5216076/ 5234785/ 5234798/ 5253565/ 09228629904,None
3/F CASTRO BLDG TIMOG AVE QUEZON CITY ,,to,BALM CONSTRUCTION COMPANY INC  Construction Contractor,MR ROMEO C BUENAVENTURA,Inactive,,
"R-207 & 208, 2F, T.M. KALAW CTR, 667-A T.M. KALAW ERMITA, MANILA",balticasiacrewing@yahoo.com,12/28/2017 to 6/27/2018,BALTIC ASIA CREWING INCORPORATED Manning Agency,,Valid License,3101588,None
3F&4F CAROLINA BLDG 2106 MADRE IGNACIA ST MALATE ,,5/20/2009 to 5/19/2013,BANDILA MARITIME SERVICES INC  Manning Agency,MR REGINALDO A OBEN,Ceased Operations,5260505/ 5261728,
"4/F WALLEM PHILS BLDG BEATERIO LEGASPI INTRAMUROS, MANILA",None,11/10/2008 to 1/10/2012,BANDILA SHIPPING INC Philippine Registered Vessel,MR REGINALDO A OBEN,Valid License,,None
3F/4F CAROLINA BDG 2106 MADRE IGNACIA ST MALATE ML ,,10/27/1998 to 10/27/2000,BANTAYOG OCEAN SHIPPING INC  Philippine Registered Vessel,MR REGINALDO A OBEN,Expired,,
PIER 4 NORTH HARBOR TONDO MANILA ,,9/10/1986 to 9/10/1987,BANTAYOG SHIPPING CORPORATION  Philippine Registered Vessel,MR ENRIQUE M ABOITIZ JR,Delisted,,
"40 FAITH STREET, PROJECT 6, QUEZON CITY",capt.celsbanag@ban-uden.com.ph,3/22/2015 to 3/21/2019,BAN-UDEN CREWING INC Manning Agency,CELSO L. BANAG,Valid License,4008955/9274696/ 09209525423/09228287915,www.ban-uden.com.ph
"1322 PAZ ST PACO, MANILA",None,10/4/2001 to 10/3/2003,BAPP`S INTERNATIONAL MANPOWER INC Private Employment Agency,WILLIAM Y SY,Cancelled,5637147 / 5641928,None
"25 MA ASUNCION SPIRIG ST BF RESORT VILL LAS PINAS PAMPLONA, LAS PIÃ‘AS",bsimail@bargonfip.com,9/3/2016 to 9/2/2020,BARGONFIP SHIPMANAGEMENT INC Manning Agency,BELTRAN B. BARGAS,Valid License,8463478 / 09988498485,www.bargonfip.com
"RIZAL STREET, AGORA MARKET JIMENEZ, MISAMIS OCCIDENTAL",NA,11/13/2003 to 11/13/2007,"BARI-BARI PHILS. MIS. OCC., INC. Private Employment Agency",LUCENA P. ESPEDILLON,Delisted,088-2723478,NA
"*3/F BARKO BLDG 1014 PABLO OCAMPO ST MALATE, MANILA",bii_general@barko.com.ph,8/30/2016 to 8/29/2020,BARKO INTERNATIONAL INC (FORMERLY UNITRA BARKO INC) Manning Agency,LENORE MAXINE VICTORIA M,Valid License,5238503 - 04 / 5250310 TO 13,www.barko.com.ph
533 A.FLORES COR GREY ST ERMITA MANILA ,,3/7/1994 to 3/5/1996,BASE ANGLE FOR COSMOPOLITAN EMPLOYMENT CORPORATION (FOR HIGURE INTL CORP) Service Contractor,MS BARBARA CAMACHO ESPINO,Delisted,501372,
21 PRES. OSME#A ST MARIKINA METRO MANILA ,,to,BASE CONSTRUCTION SERVICE GROUP INC  Construction Contractor,COL ANTONIO MA ALONTE,Cancelled,,
475 REMEDIOS ST COR A.MABINI ST ERMITA MANILA ,,to 1/15/1983,BASIC INTERNATIONAL SERVICES  Private Employment Agency,MARIANNE SALLY ESTRELLA,Cancelled,508498 / 5217813,
1006 &1012 APACIBLE ST. ERMITA MANILA ,basicworld@eastern.com.ph,2/20/2003 to 2/20/2007,BASIC WORLD MANPOWER SERVICES Private Employment Agency,MARITES A FILAMOR,Cancelled,3384659 / 5284442/ 3039168,None
3/F VILLAFLOR BLDG 57 BUENDIA AVE MAKATI CITY ,,to 2/22/1985,BATAAN INTERNATIONAL EXPORT-IMPORT & MANPOWER SERVICES INC Private Employment Agency,MR NICANOR INTON,Forever Banned,897146 / 889129,
"G1 (G/F), U- 201,202&203 (2/F) AND U-301,302 & 303 MALATE, MANILA",bhr.info@ymail.com,10/31/2014 to 10/30/2018,BATANGUEÃ‘O HUMAN RESOURCES INC. Private Employment Agency,RUEL S. ATIENZA,Valid License,567-5014/ 3528976,www.bhr.com.ph
STERLING COND BLDG DE LA ROSA LEGASPI VILL MAKATI ,,to 11/25/1987,BATCH SHIPPING AGENCIES & MARINE SERVICES INC Manning Agency,MR JOSE ARISTEO COLMENAR,Delisted,893386,
"1019-B (GF) & 1019-1021 (2F) GEN MALVAR ST MALATE, MANILA",batieinternational@yahoo.com,1/13/2011 to 1/12/2015,BATIE INTERNATIONAL MANPOWER SERVICES INCORPORATED Private Employment Agency,BAITULON S. ABDULSATAR,Cancelled,3798195/0905-2275072/0908-8118451,NA
"PNTHSE UA GREENBELT MANSION 106 PEREA ST LEGASPI VILLAGE, MAKATI",BAYANI@BAYANINURSE.COM,1/11/2012 to 1/10/2016,"BAYANI CONSULTING NETWORK , INC. Private Employment Agency",ARTURO D. CANTOS,Delisted,8936567,WWW.BAYANINURSE.COM
68 CARBAL BLDG WEST AVE QUEZON CITY ,,to 6/25/1985,BB CERVANTES PLACEMENT CENTER (INTERNATIONAL) Private Employment Agency,MR BLAS B CERVANTES,Cancelled,,
505 A.MABINI COR A.FLORES STS ERMITA MANILA ,,3/6/1996 to 3/5/1998,BB UNIWIDE INTERNATIONAL MANPOWER PLACEMENT SERVICES INC Service Contractor,HADJI ABUBACAR P BIRUAR,Delisted,8122272,
1180 E.RODRIGUEZ SR BLVD QUEZON CITY ,,7/28/1988 to 9/21/1992,BDR INTERNATIONAL SERVICES INC  Private Employment Agency,MS BRENDA A DAYOT,Forever Banned,703440,
"3F RIASJAC BLDG BASELINE CMPLX JUANA OSMENA CEBU CEBU CITY, CEBU",NA,5/31/2007 to 5/31/2011,BE GLAD WORLDWIDE PLACEMENT AGENCY Private Employment Agency,MARIE GLADYS LIM UY,Cancelled,253-4744/2533305,NA
"SEC A&B 14F R MAGSAYSAY CTR 1680 ROXAS BLVD MALATE, MANILA",beamko@i-manila.com.ph,5/21/2017 to 5/20/2021,BEAMKO SHIPMANAGEMENT CORPORATION (FORMERLY EMC ASIA SHIPMANAGEMENT INC) Manning Agency,JUANITO G SALVATIERRA JR,Valid License,5281612/404-3991/4043995/4050176,www.beamkoship.net
UNIT502 GEDISCO TERRACE 1148 RXS BLVD. ERMITA MLA ,,5/11/1999 to 5/11/2001,BECARD MARITIME CORP.  Manning Agency,REYNALDO C MONSALVE,Delisted,5239429 / 5239435,
UNIT 2D 2/F CUEVAS TOWER CONDO TAFT AVE COR P.GIL MANILA,BECMEN@YAHOO.COM,6/26/2014 to 6/25/2018,BECMEN SERVICE EXPORTER & PROMOTIONS INCORPORATED (FOR BECMEN SVC Private Employment Agency,MS BENILDA C MENDOZA,Valid License,5220558 / 5253636/ 5260373,BECMEN.NO-IP.COM/HOME.HTML
2F OCEANIC COMM`L BLDG P.TAMO ST MAKATI CITY ,,to 4/13/1985,BEE GENERAL SERVICES  Private Employment Agency,MS BELEN S ESTRELLA,Forever Banned,,
"3/F FELISA BLDG 952 QUIRINO AVE MALATE, MANILA",None,9/3/2003 to 9/2/2007,BEEDJADE SERVICE CONTRACTORS CORP. Private Employment Agency,DAISY FLORENCIA L. SAITO,Delisted,4003915,None
"G/F PLAZA SANTIAGO BLDG STA CLARA ST MANILA INTRAMUROS, MANILA",mail@belchem.ph,3/21/2017 to 3/20/2021,BELCHEM PHILIPPINES INC Manning Agency,FERNANDINO T. LISING,Valid License,5277491 loc 209 & 224/ 5271575/ 09285500746/,NA
"PENTHSE (RW)BLOOMINGDALE BDG 205 SALCEDO ST LEGASPI VILLAGE, MAKATI",None,6/30/2006 to 6/30/2010,BELCION INTERNATIONAL HUMAN RESOURCES CORPORATION Private Employment Agency,DANIEL R. GAWAT,Delisted,759-2320,NA
2F 1709 PIY MARGAL ST SAMPALOC MANILA ,None,8/25/2006 to 8/24/2010,"BELLESTAR PROMOTIONS, INC. Private Employment Agency",MS BELLA E DIMAYUGA,Delisted,7315061/ 7117177/ 7321999,None
2205 LEVERIZA ST PASAY CITY ,,to 9/20/1985,BELOVED INTERNATIONAL AGENCY INC  Private Employment Agency,CAPT VIRGILIO G CLOMA,Forever Banned,8316891 / 8330278,
"G/F (SOUTH WING) APILADO BLDG. 457 QUEZON AVE., SAN FERNANDO CITY, LA UNION",None,7/6/2004 to 7/6/2008,"BELVEDERE MANPOWER, INC. Private Employment Agency",AL MODESTO M VALENCIANO,Cancelled,(077) 770-3837,None
306 ERMITA BLDG ARQUIZA ST ERMITA MANILA ,None,4/4/2002 to 3/24/2004,BEMIL MANAGEMENT TRADING & MANPOWER SERVICES INC Private Employment Agency,MS MILAGROS O BARANGAN,Cancelled,5265781/ 5249033,None
3RD FLOOR NERY BLDG TAMBO PARANAQUE MM ,,to 4/11/1984,BEN ABASTILLAS CONSTRUCTION INC  Construction Contractor,MR BEN ABASTILLAS,Inactive,964724,
"26-D,20TH AVE.,CUBAO,QUEZON CITY ",,7/24/1998 to 7/23/2000,BENCHARM INTERNATIONAL MANPOWER SERVICES  Private Employment Agency,REMEDIOS B VILLANUEVA,Delisted,4211722 / 9117593,
"2ND FLOOR, 2687 ARELLANO AVENUE MALATE, MANILA",benchstoneinc@gmail.com,3/8/2016 to 3/7/2020,BENCHSTONE ENTERPRISES INC Service Contractor,EDWARD FILIP G. EDQUIBAN,Valid License,3137184/ 2410362,None
R1607A 16F EAST TWR PSE CTR ORTIGAS CTR PASIG CITY ,None,8/18/2004 to 8/17/2008,BENEPHIL SHIPMANAGEMENT COMPANY INC. Manning Agency,MR CELSO L BANAG,Cancelled,6873497 (TELEFAX),None
"2159A&B TAFT BUSINESS CTR TAFT AVE MALATE, MANILA",benship@skynet.net,9/1/2016 to 8/31/2020,BENHUR SHIPPING CORPORATION Manning Agency,EDGAR B BRUSELAS,Valid License,5215712,None
"UNITS 603 & 805, OMM-CITRA BLDG, SAN MIGUEL AVE, O PASIG CITY",benisce@yahoo.com.ph,11/28/2016 to 11/27/2020,BENISCE INTERNATIONAL MANPOWER SERVICES Private Employment Agency,MARIA TERESA T VALERA,Valid License,2166687 / 6313300 / 09178470920,www.benisce.com
"4F DALLCON II BLG.164 AURORA BLVD,SAN JUAN MM ",,6/10/2002 to 6/9/2006,BENTON INTERNATIONAL RECRUITMENT AGENCY INC. Private Employment Agency,MR ROMEO S RESURRECCION,Delisted,7443096 / 7443092,
"GF & 2F, JBR BLDG, 4384 DAYAP ST PALANAN, MAKATI",benzor@benzor.com.ph,8/29/2014 to 8/28/2018,BENZOR INTERNATIONAL MANPOWER SERVICES Private Employment Agency,BENJAMIN C. CARO,Cancelled,8317259,www.benzor.ph
"29-B TANGALI ST STA MESA HEIGHTS SAN JOSE, QUEZON CITY",admin.ph@beracah.com.sg,6/24/2014 to 6/23/2018,BERACAH HUMAN RESOURCE CONSULTANCY Private Employment Agency,VIRGINIA B. MACAPINLAC,Valid License,367-2771/ 415-1712/0921-9634770 (mobile),NA
